"bytes","date_uk","error","http_status","notes","output_path","query","record_count","retrieved_at_uk","retrieved_at_utc","run_ts","sha256","source_name","source_type","status","url"
"1952","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/04_ground_aq_providers/raw/waqi_eastbourne_20260526T135749Z.json","eastbourne","0","2026-05-26T14:59:16.047390+01:00","2026-05-26T13:59:16.047390+00:00","20260526T135749Z","870d1530844026c2b25473e8d66347b43a9826208c047394f3d29a65abfb41eb","WAQI geospatial feed","ground_aq","ok","https://api.waqi.info/feed/geo:50.768;0.29/?token=***REDACTED***"
"491","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/05_weather/raw/openweather_current_eastbourne_20260526T135749Z.json","eastbourne","0","2026-05-26T14:59:16.148851+01:00","2026-05-26T13:59:16.148851+00:00","20260526T135749Z","18d8023aecfb059552931aab7e2690723a36e315b867aecf5c3e8ae2f733289e","OpenWeather current weather","weather","ok","https://api.openweathermap.org/data/2.5/weather?lat=50.768&lon=0.29&appid=6dd68522123c97934487c2a593566e73&units=metric"
"188","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/04_ground_aq_providers/raw/openweather_airpollution_eastbourne_20260526T135749Z.json","eastbourne","1","2026-05-26T14:59:16.335963+01:00","2026-05-26T13:59:16.335963+00:00","20260526T135749Z","2fc54db65e19df935c8516f6e64582e338cbf56f37390422989a8dbbd43db5df","OpenWeather air pollution","ground_aq","ok","https://api.openweathermap.org/data/2.5/air_pollution?lat=50.768&lon=0.29&appid=6dd68522123c97934487c2a593566e73"
"2057","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/04_ground_aq_providers/raw/waqi_brighton_20260526T135749Z.json","brighton","0","2026-05-26T14:59:16.957096+01:00","2026-05-26T13:59:16.957096+00:00","20260526T135749Z","91b4ac30b5df93a79f44539c642bfcf2a5cca16a0e9a3b60ecfd935b6971f5e4","WAQI geospatial feed","ground_aq","ok","https://api.waqi.info/feed/geo:50.822;-0.137/?token=***REDACTED***"
"497","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/05_weather/raw/openweather_current_brighton_20260526T135749Z.json","brighton","0","2026-05-26T14:59:17.087183+01:00","2026-05-26T13:59:17.087183+00:00","20260526T135749Z","bc30f1a0ea2b5b48fc045d5fa26f361ce7ddb3ebfa41ad372b081528a3f20ea6","OpenWeather current weather","weather","ok","https://api.openweathermap.org/data/2.5/weather?lat=50.822&lon=-0.137&appid=6dd68522123c97934487c2a593566e73&units=metric"
"190","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/04_ground_aq_providers/raw/openweather_airpollution_brighton_20260526T135749Z.json","brighton","1","2026-05-26T14:59:17.265488+01:00","2026-05-26T13:59:17.265488+00:00","20260526T135749Z","ccb87cab55c232f0876cd864ccc2e9fda2ce2a4f904249dacbe49ebf8da6e85b","OpenWeather air pollution","ground_aq","ok","https://api.openweathermap.org/data/2.5/air_pollution?lat=50.822&lon=-0.137&appid=6dd68522123c97934487c2a593566e73"
"1952","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/04_ground_aq_providers/raw/waqi_seaford_control_20260526T135749Z.json","seaford_control","0","2026-05-26T14:59:17.870876+01:00","2026-05-26T13:59:17.870876+00:00","20260526T135749Z","870d1530844026c2b25473e8d66347b43a9826208c047394f3d29a65abfb41eb","WAQI geospatial feed","ground_aq","ok","https://api.waqi.info/feed/geo:50.772;0.102/?token=***REDACTED***"
"508","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/05_weather/raw/openweather_current_seaford_control_20260526T135749Z.json","seaford_control","0","2026-05-26T14:59:17.965238+01:00","2026-05-26T13:59:17.965238+00:00","20260526T135749Z","43ec2ad37e4702f0050803c0f0ae8a7b67b51497ed4185b2786850d222bb9f10","OpenWeather current weather","weather","ok","https://api.openweathermap.org/data/2.5/weather?lat=50.772&lon=0.102&appid=6dd68522123c97934487c2a593566e73&units=metric"
"189","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/04_ground_aq_providers/raw/openweather_airpollution_seaford_control_20260526T135749Z.json","seaford_control","1","2026-05-26T14:59:18.147371+01:00","2026-05-26T13:59:18.147371+00:00","20260526T135749Z","1e4163f3bc9eb0b5f3afb471f063c7a09369b67bd3a11e9304dc3eaba6a913aa","OpenWeather air pollution","ground_aq","ok","https://api.openweathermap.org/data/2.5/air_pollution?lat=50.772&lon=0.102&appid=6dd68522123c97934487c2a593566e73"
"120","26/05/2026","","200","apikey header; lat/lon rounded to 2dp","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/05_metoffice_datahub_weather/metoffice_land_observations_20260526T135749Z.json","newhaven_nearest","1","2026-05-26T14:59:18.655960+01:00","2026-05-26T13:59:18.655960+00:00","20260526T135749Z","c71f52463f68e9b6af4f871aba4a696cc520326009361b2368d0bac91ee29341","Met Office DataHub land observations","weather","ok","https://data.hub.api.metoffice.gov.uk/observation-land/1/nearest?lat=50.80&lon=0.06"
"22006","26/05/2026","","200","strict cap 1/8; no pagination","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/04_ground_aq_providers/openaq_raw/openaq_locations_newhaven_incinerator_20260526T135749Z.json","newhaven_incinerator","16","2026-05-26T14:59:18.916583+01:00","2026-05-26T13:59:18.916583+00:00","20260526T135749Z","a57f403d5614f4524ce4c1c3ba28408286de7883227049bb75f507c75e3c66de","OpenAQ v3 locations radius search","ground_aq","ok","https://api.openaq.org/v3/locations?coordinates=50.796%2C0.055&radius=25000&limit=100"
"24430","26/05/2026","","200","strict cap 2/8; no pagination","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/04_ground_aq_providers/openaq_raw/openaq_locations_lewes_20260526T135749Z.json","lewes","18","2026-05-26T14:59:27.167546+01:00","2026-05-26T13:59:27.167546+00:00","20260526T135749Z","120ed68a124b3e85d3f771c59385ea6bc4c5967febb1f2bb5e7de81a672dce54","OpenAQ v3 locations radius search","ground_aq","ok","https://api.openaq.org/v3/locations?coordinates=50.873%2C0.008&radius=25000&limit=100"
"13720","26/05/2026","","200","strict cap 3/8; no pagination","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/04_ground_aq_providers/openaq_raw/openaq_locations_eastbourne_20260526T135749Z.json","eastbourne","11","2026-05-26T14:59:35.344253+01:00","2026-05-26T13:59:35.344253+00:00","20260526T135749Z","39703b72d3f884b3c0bd40ce9a7028ad22885ddd9b5c287195a8fe241608d068","OpenAQ v3 locations radius search","ground_aq","ok","https://api.openaq.org/v3/locations?coordinates=50.768%2C0.29&radius=25000&limit=100"
"27264","26/05/2026","","200","strict cap 4/8; no pagination","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/04_ground_aq_providers/openaq_raw/openaq_locations_brighton_20260526T135749Z.json","brighton","20","2026-05-26T14:59:43.762652+01:00","2026-05-26T13:59:43.762652+00:00","20260526T135749Z","0f4fb464687e85f17907c6cbeba2c57712d107d5d427b79ce3d815e56e05620a","OpenAQ v3 locations radius search","ground_aq","ok","https://api.openaq.org/v3/locations?coordinates=50.822%2C-0.137&radius=25000&limit=100"
"20792","26/05/2026","","200","strict cap 5/8; no pagination","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/04_ground_aq_providers/openaq_raw/openaq_locations_seaford_control_20260526T135749Z.json","seaford_control","15","2026-05-26T14:59:52.019058+01:00","2026-05-26T13:59:52.019058+00:00","20260526T135749Z","2a374796fc876a90b4e17cf8be0f1db9ae5dfed342ac00cc2d6e90de681f9019","OpenAQ v3 locations radius search","ground_aq","ok","https://api.openaq.org/v3/locations?coordinates=50.772%2C0.102&radius=25000&limit=100"
"524","26/05/2026","","","CAMS key present; no data call attempted","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/09_cams/cams_readiness.json","readiness","1","2026-05-26T14:59:52.019806+01:00","2026-05-26T13:59:52.019806+00:00","20260526T135749Z","6b151e67607c3500edeacc2e991d078262371187f4de1f221fad0b6b3aba8b27","CAMS readiness","atmospheric_model","ok","cams://configured-key-no-endpoint"
"452","26/05/2026","","200","optional; contextual only, not reference-grade","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/15_optional_sources/purpleair_sensors_20260526T135749Z.json","regional_context","2","2026-05-26T14:59:52.663633+01:00","2026-05-26T13:59:52.663633+00:00","20260526T135749Z","c8f904901ca5dc3d11ad7dd4edd0a7fe32bb0b183311e672b47576000c60b688","PurpleAir sensors regional context","low_cost_sensor_context","ok","https://api.purpleair.com/v1/sensors?fields=sensor_index%2Cname%2Clatitude%2Clongitude%2Clast_seen%2Cpm2.5_atm%2Cpm2.5_cf_1&location_type=0&nwlng=-0.2&nwlat=50.98&selng=0.4&selat=50.65&max_age=604800"
"41947","26/05/2026","","200","optional search context 1/3","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/15_optional_sources/serpapi_raw/serpapi_Newhaven_Energy_Recovery_Facility_emissions_20260526T135749Z.json","Newhaven Energy Recovery Facility emissions","0","2026-05-26T14:59:53.503736+01:00","2026-05-26T13:59:53.503736+00:00","20260526T135749Z","1cb67206c938f413d1c9bba84e6f95623c4bbe9e8a440cf5f1c60934f0952737","SerpAPI Google search","web_search_context","ok","https://serpapi.com/search.json?engine=google&q=Newhaven+Energy+Recovery+Facility+emissions&api_key=***REDACTED***&num=10"
"27226","26/05/2026","","200","optional search context 2/3","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/15_optional_sources/serpapi_raw/serpapi_BV8067IL_Newhaven_Environment_Agency_20260526T135749Z.json","BV8067IL Newhaven Environment Agency","0","2026-05-26T14:59:56.828575+01:00","2026-05-26T13:59:56.828575+00:00","20260526T135749Z","af3eaf613db009ab6eb5b149ef0a87b31540cf221440333d0320dcc8aa1212b2","SerpAPI Google search","web_search_context","ok","https://serpapi.com/search.json?engine=google&q=BV8067IL+Newhaven+Environment+Agency&api_key=***REDACTED***&num=10"
"46002","26/05/2026","","200","optional search context 3/3","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/15_optional_sources/serpapi_raw/serpapi_Veolia_Newhaven_annual_monitoring_report_20260526T135749Z.json","Veolia Newhaven annual monitoring report","0","2026-05-26T15:00:04.806631+01:00","2026-05-26T14:00:04.806631+00:00","20260526T135749Z","86d381cd345012177d417dff642c080c4597f961eb1a73d6fe124a8e62a6aeb9","SerpAPI Google search","web_search_context","ok","https://serpapi.com/search.json?engine=google&q=Veolia+Newhaven+annual+monitoring+report&api_key=***REDACTED***&num=10"
"44991","26/05/2026","","200","optional discovery only","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/15_optional_sources/earthdata_raw/earthdata_cmr_MCD19A2_20260526T135749Z.json","MCD19A2","0","2026-05-26T15:00:05.198605+01:00","2026-05-26T14:00:05.198605+00:00","20260526T135749Z","2cadf67eddd3d255ba71550fadf8a3881b0c5e3437081362feac09de7d8cbe48","NASA Earthdata CMR granules","satellite_metadata","ok","https://cmr.earthdata.nasa.gov/search/granules.json?short_name=MCD19A2&temporal=2024-07-22T00%3A00%3A00Z%2C2024-07-29T23%3A59%3A59Z&bounding_box=-0.15%2C50.68%2C0.35%2C50.95&page_size=10"
"33179","26/05/2026","","200","optional discovery only","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/15_optional_sources/earthdata_raw/earthdata_cmr_MOD04_L2_20260526T135749Z.json","MOD04_L2","0","2026-05-26T15:00:05.484938+01:00","2026-05-26T14:00:05.484938+00:00","20260526T135749Z","c6a00dbd7436970b8f45e265418d9ddc2aaf629d97b4b2d390c53e436477d749","NASA Earthdata CMR granules","satellite_metadata","ok","https://cmr.earthdata.nasa.gov/search/granules.json?short_name=MOD04_L2&temporal=2024-07-22T00%3A00%3A00Z%2C2024-07-29T23%3A59%3A59Z&bounding_box=-0.15%2C50.68%2C0.35%2C50.95&page_size=10"
"459","26/05/2026","{""error"":""unauthorized_client"",""error_description"":""Invalid client or Invalid client credentials""}","401","token readiness only; access token not stored","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/15_optional_sources/cdse_auth_readiness.json","token_probe","1","2026-05-26T15:00:06.861092+01:00","2026-05-26T14:00:06.861092+00:00","20260526T135749Z","433146b8d267e5c203e4aa68d7cecf90be853966c8826cd0498cda0c7885c403","CDSE auth readiness","satellite_auth","warning","https://identity.dataspace.copernicus.eu/auth/realms/CDSE/protocol/openid-connect/token"
"166664","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/06_official_filings/raw/GOV.UK_Newhaven_Energy_Recovery_Facility_annual_monitoring_report_20260526T135749Z.json","Newhaven Energy Recovery Facility annual monitoring report","50","2026-05-26T15:00:07.316061+01:00","2026-05-26T14:00:07.316061+00:00","20260526T135749Z","10beeac6045ab740156faa6bf77b1ddc237e299a68d1029961dcd639cefed250","GOV.UK search","official_search","ok","https://www.gov.uk/api/search.json?q=Newhaven+Energy+Recovery+Facility+annual+monitoring+report&count=50"
"230","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/06_official_filings/raw/data.gov.uk_Newhaven_Energy_Recovery_Facility_annual_monitoring_report_20260526T135749Z.json","Newhaven Energy Recovery Facility annual monitoring report","0","2026-05-26T15:00:07.809024+01:00","2026-05-26T14:00:07.809024+00:00","20260526T135749Z","bdeb10efba8ca93dcfdb9e7a66db6db76305b2ec9d6f5d6595c098682349bc78","data.gov.uk search","official_search","ok","https://ckan.publishing.service.gov.uk/api/3/action/package_search?q=Newhaven+Energy+Recovery+Facility+annual+monitoring+report&rows=50"
"152861","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/06_official_filings/raw/GOV.UK_BV8067IL_Newhaven_20260526T135749Z.json","BV8067IL Newhaven","50","2026-05-26T15:00:08.032743+01:00","2026-05-26T14:00:08.032743+00:00","20260526T135749Z","ce1a59c7bfb07b01a6b608ebade4f9fc6f16e92bc942f02ffa50ce55993a03a1","GOV.UK search","official_search","ok","https://www.gov.uk/api/search.json?q=BV8067IL+Newhaven&count=50"
"230","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/06_official_filings/raw/data.gov.uk_BV8067IL_Newhaven_20260526T135749Z.json","BV8067IL Newhaven","0","2026-05-26T15:00:08.425982+01:00","2026-05-26T14:00:08.425982+00:00","20260526T135749Z","bdeb10efba8ca93dcfdb9e7a66db6db76305b2ec9d6f5d6595c098682349bc78","data.gov.uk search","official_search","ok","https://ckan.publishing.service.gov.uk/api/3/action/package_search?q=BV8067IL+Newhaven&rows=50"
"170777","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/06_official_filings/raw/GOV.UK_Veolia_Newhaven_annual_monitoring_report_20260526T135749Z.json","Veolia Newhaven annual monitoring report","50","2026-05-26T15:00:08.891226+01:00","2026-05-26T14:00:08.891226+00:00","20260526T135749Z","f8bb8bba537c926dbc1d64b6671d3cb88b702b55b799321f7aa990d27263c48f","GOV.UK search","official_search","ok","https://www.gov.uk/api/search.json?q=Veolia+Newhaven+annual+monitoring+report&count=50"
"230","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/06_official_filings/raw/data.gov.uk_Veolia_Newhaven_annual_monitoring_report_20260526T135749Z.json","Veolia Newhaven annual monitoring report","0","2026-05-26T15:00:09.298865+01:00","2026-05-26T14:00:09.298865+00:00","20260526T135749Z","bdeb10efba8ca93dcfdb9e7a66db6db76305b2ec9d6f5d6595c098682349bc78","data.gov.uk search","official_search","ok","https://ckan.publishing.service.gov.uk/api/3/action/package_search?q=Veolia+Newhaven+annual+monitoring+report&rows=50"
"185792","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/06_official_filings/raw/GOV.UK_Environment_Agency_Newhaven_energy_recovery_facility_20260526T135749Z.json","Environment Agency Newhaven energy recovery facility","50","2026-05-26T15:00:09.778613+01:00","2026-05-26T14:00:09.778613+00:00","20260526T135749Z","57063e8115bac8686c6dbe876e3147de7969447dea7b28ed873e6a3baec4ca03","GOV.UK search","official_search","ok","https://www.gov.uk/api/search.json?q=Environment+Agency+Newhaven+energy+recovery+facility&count=50"
"239491","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/06_official_filings/raw/data.gov.uk_Environment_Agency_Newhaven_energy_recovery_facility_20260526T135749Z.json","Environment Agency Newhaven energy recovery facility","12","2026-05-26T15:00:10.567382+01:00","2026-05-26T14:00:10.567382+00:00","20260526T135749Z","6495a3cd8f83796f2352709b7f8023e615d5b1e6569dc142ef01309ef653d36c","data.gov.uk search","official_search","ok","https://ckan.publishing.service.gov.uk/api/3/action/package_search?q=Environment+Agency+Newhaven+energy+recovery+facility&rows=50"
"181034","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/06_official_filings/raw/GOV.UK_incinerator_annual_monitoring_reporting_data.gov.uk_20260526T135749Z.json","incinerator annual monitoring reporting data.gov.uk","50","2026-05-26T15:00:10.949687+01:00","2026-05-26T14:00:10.949687+00:00","20260526T135749Z","435113f957f8b5465d3973e1ba8fdb76a63c730709b4bfa535c9ff12e739c0a4","GOV.UK search","official_search","ok","https://www.gov.uk/api/search.json?q=incinerator+annual+monitoring+reporting+data.gov.uk&count=50"
"338600","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/06_official_filings/raw/data.gov.uk_incinerator_annual_monitoring_reporting_data.gov.uk_20260526T135749Z.json","incinerator annual monitoring reporting data.gov.uk","50","2026-05-26T15:00:11.901134+01:00","2026-05-26T14:00:11.901134+00:00","20260526T135749Z","16b76a801f0208889acb8ef4c914c4572ae0938202f8e806ff908e749dff8064","data.gov.uk search","official_search","ok","https://ckan.publishing.service.gov.uk/api/3/action/package_search?q=incinerator+annual+monitoring+reporting+data.gov.uk&rows=50"
"214395","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/06_official_filings/raw/GOV.UK_UK_PRTR_Newhaven_Veolia_waste_incineration_20260526T135749Z.json","UK PRTR Newhaven Veolia waste incineration","50","2026-05-26T15:00:12.412680+01:00","2026-05-26T14:00:12.412680+00:00","20260526T135749Z","0f4da1ccca255e70bdb64f84a75c9eb7930262e62196b0530c1056c1c9ff8062","GOV.UK search","official_search","ok","https://www.gov.uk/api/search.json?q=UK+PRTR+Newhaven+Veolia+waste+incineration&count=50"
"230","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/06_official_filings/raw/data.gov.uk_UK_PRTR_Newhaven_Veolia_waste_incineration_20260526T135749Z.json","UK PRTR Newhaven Veolia waste incineration","0","2026-05-26T15:00:12.726551+01:00","2026-05-26T14:00:12.726551+00:00","20260526T135749Z","bdeb10efba8ca93dcfdb9e7a66db6db76305b2ec9d6f5d6595c098682349bc78","data.gov.uk search","official_search","ok","https://ckan.publishing.service.gov.uk/api/3/action/package_search?q=UK+PRTR+Newhaven+Veolia+waste+incineration&rows=50"
"102100","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/06_official_filings/raw/watch_UK_PRTR_20260526T135749Z.html","UK PRTR","1","2026-05-26T15:00:12.898784+01:00","2026-05-26T14:00:12.898784+00:00","20260526T135749Z","3a190564a7941d437dd7a79318d9cde784d4880a1c35dbebd10b4693221de7df","UK PRTR","official_watch_url","ok","https://www.gov.uk/guidance/uk-pollutant-release-and-transfer-register-prtr-data-sets"
"122178","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/06_official_filings/raw/watch_Environment_Agency_20260526T135749Z.html","Environment Agency","1","2026-05-26T15:00:13.985650+01:00","2026-05-26T14:00:13.985650+00:00","20260526T135749Z","f8edc3f51584552ec7e3f77a2a0d5c8d0e35b935a9379f3de94d083073e19068","Environment Agency","official_watch_url","ok","https://www.gov.uk/government/organisations/environment-agency"
